"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","comprehension_boxes","comprehension_your_boxes","comprehension_winning_boxes","comprehension_fc","comprehension_lc","comprehension_ps","comprehension_cc","pre1","pre2","pre3","pre_fc","pre_lc","pre_ps","pre_cc","c_selection1","c_selection2","c_selection3","post1","post2","post3","post_fc","post_lc","post_ps","post_cc","likelihood","confidence1","confidence2","why","why_fc","why_lc","why_ps","why_cc","age","gender","education","winning_box","outcome","order","pre","choice","choice_text","box","box_image","box_text","p_selected","winning_box_text","IPAddress_coded","workerId_coded","excluded","excluded_reason","p_highest","p_lowest","p_second_highest","uniform","choice_tertiary"
"2019-09-25 11:31:53","2019-09-25 11:37:16","0","100","322","1","2019-09-25 11:37:17","R_2QxlsNBV8zQEayT","","","","","anonymous","EN","3","1","1","1.429","3.101","3.598","3",NA,NA,NA,"","","","","Off","On","Off",33,34,33,"0.428","6.9","7.499","7","6","6","6","I gave myself the extra percent for good luck, but in essence each box has 33.333333....%","0.573","1.181","20.491","2","30","0","4","3","$0.00","231",0,1,"You have selected this box as your box.",2,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6Ft5pvdFg2hzi5v","Middle",34,"Right",115,10,0,"NA",34,33,33,1,1
"2019-09-25 11:33:07","2019-09-25 11:35:50","0","100","163","1","2019-09-25 11:35:50","R_1GvKS80D2a9tWao","","","","","anonymous","EN","3","1","1","3.173","7.779","9.218","3",NA,NA,NA,"","","","","Off","Off","On",33,34,33,"9.886","17.6","20.687","3","7","6","6","Because it has a 1/3 chance","3.769","3.769","21.692","1","45","1","2","3","$1.00","132",0,1,"You have selected this box as your box.",3,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_byGtAtR4WsrhcqN","Right",33,"Right",495,11,0,"NA",34,33,33,1,1
"2019-09-25 12:12:33","2019-09-25 12:19:42","0","100","428","1","2019-09-25 12:19:42","R_2WDnCfuFHDCaqCi","","","","","anonymous","EN","3","1","1","3.984","9.275","10.84","3",33.3,33.3,33.4,"18.698","72.961","76.773","10","Off","Off","On",NA,NA,NA,"","","","","7","7","10","All 3 boxes has an almost fully equal opportunity of it being the selected box as your chosen box.","14.243","14.243","75.823","1","48","0","2","2","$0.00","213",1,1,"You have selected this box as your box.",3,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_byGtAtR4WsrhcqN","Right",33.4,"Middle",21,12,0,"NA",33.4,33.3,33.3,1,0
"2019-09-25 11:10:50","2019-09-25 11:13:41","0","100","170","1","2019-09-25 11:13:41","R_tPQznqqNS6HUQCJ","","","","","anonymous","EN","3","1","1","3.446","5.646","6.668","3",30,30,40,"0.973","6.004","30.116","3","Off","Off","On",NA,NA,NA,"","","","","7","7","6","There is no logical or good reason, I just felt like it was the right box, so I'm putting my confidence into it.","0.797","16.594","39.913","4","27","0","4","2","$0.00","321",1,1,"You have selected this box as your box.",3,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_byGtAtR4WsrhcqN","Right",40,"Middle",186,13,0,"NA",40,30,30,0,0
"2019-09-25 11:00:24","2019-09-25 11:03:25","0","100","180","1","2019-09-25 11:03:25","R_1LGMybzZyYNjg1s","","","","","anonymous","EN","3","1","1","1.914","6.598","8.785","3",NA,NA,NA,"","","","","Off","On","Off",33.3,33.4,33.3,"6.817","38.648","39.987","7","3","3","3","It has the same chance of being the winning box as the other two boxes.","5.419","32.916","33.553","2","45","0","2","2","$1.00","132",0,1,"You have selected this box as your box.",2,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6Ft5pvdFg2hzi5v","Middle",33.4,"Middle",579,14,0,"NA",33.4,33.3,33.3,1,1
"2019-09-25 13:13:42","2019-09-25 13:21:02","0","100","440","1","2019-09-25 13:21:03","R_0CfCKDd0F5OaJhv","","","","","anonymous","EN","3","1","1","6.268","13.017","13.753","4",NA,NA,NA,"","","","","","","",20,50,30,"9.9","14.802","18.155","3","7","8","7","Confident","5.899","5.899","16.537","1","28","0","5","2","$0.00","231",0,0,"The computer has randomly selected this box as your box.",3,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_byGtAtR4WsrhcqN","Right",30,"Middle",191,15,0,"NA",50,20,30,0,2
"2019-09-25 11:07:25","2019-09-25 11:09:22","0","100","117","1","2019-09-25 11:09:23","R_3ktATrgdbIPqGkr","","","","","anonymous","EN","3","1","1","1.929","4.619","6.86","3",NA,NA,NA,"","","","","","","",0,25,75,"5.753","10.809","11.174","2","0","0","0","I have the worst luck possible and am not confident that if this were by chance I would win. There's also the factor that this could be programmed in the backend for all users to lose and zero boxes actually have a chance of winning. ","3.089","3.089","40.705","1","37","0","4","2","$0.00","213",0,0,"The computer has randomly selected this box as your box.",1,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cZ26urzdWdrwgHr","Left",0,"Middle",249,16,0,"NA",75,0,25,0,2
"2019-09-25 12:17:29","2019-09-25 12:21:08","0","100","218","1","2019-09-25 12:21:08","R_1mDFt2WVHnpX8SB","","","","","anonymous","EN","3","1","1","2.895","6.071","7.041","3",NA,NA,NA,"","","","","On","Off","Off",34,33,33,"11.208","17.664","19.367","3","4","10","7","Because there are three of them, and each has the same chance, so 100% / 3 = 33.33%, since I am optimistic, I rounded it to 34 ","5.985","5.985","51.529","1","54","0","4","2","$0.00","231",0,1,"You have selected this box as your box.",1,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cZ26urzdWdrwgHr","Left",34,"Middle",181,17,0,"NA",34,33,33,1,1
"2019-09-25 12:09:16","2019-09-25 12:13:11","0","100","234","1","2019-09-25 12:13:11","R_2vk8PbuXtURuRXy","","","","","anonymous","EN","3","1","1","5.249","15.315","18.186","3",35,35,30,"10.567","27.943","31.831","3","Off","On","Off",NA,NA,NA,"","","","","8","10","8","there are three boxes, so the chances is 1 out of  3 to be chosen","6.064","6.064","42.243","1","49","1","4","3","$0.00","132",1,1,"You have selected this box as your box.",2,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6Ft5pvdFg2hzi5v","Middle",35,"Right",333,18,0,"NA",35,30,35,0,0
"2019-09-25 11:58:09","2019-09-25 12:00:33","0","100","144","1","2019-09-25 12:00:33","R_3lSvl3pilgoUyhK","","","","","anonymous","EN","3","1","1","2.216","13.27","14.023","3",NA,NA,NA,"","","","","","","",33.4,33.3,33.3,"3.972","25.142","29.532","8","4","5","5","If it were a random selection, the odds would be split evenly between the three boxes.","2.575","2.575","18.497","1","24","1","4","2","$0.00","312",0,0,"The computer has randomly selected this box as your box.",3,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_byGtAtR4WsrhcqN","Right",33.3,"Middle",414,19,0,"NA",33.4,33.3,33.3,1,2
"2019-09-25 11:00:12","2019-09-25 11:04:04","0","100","231","1","2019-09-25 11:04:04","R_29Nr8Ekf3XAJvG1","","","","","anonymous","EN","3","1","1","3.27","9.208","11.142","3",NA,NA,NA,"","","","","","","",25,30,45,"22.647","34.175","39.003","3","10","10","9","the percentage of this is high","12.182","12.182","34.595","1","36","0","5","1","$0.00","132",0,0,"The computer has randomly selected this box as your box.",3,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_byGtAtR4WsrhcqN","Right",45,"Left",562,20,0,"NA",45,25,30,0,2
"2019-09-25 11:02:59","2019-09-25 11:07:03","0","100","243","1","2019-09-25 11:07:03","R_31ivXSIRBdjfy4N","","","","","anonymous","EN","3","1","1","3.085","9.409","12.341","3",15,70,15,"16.241","39.612","42.602","6","Off","On","Off",NA,NA,NA,"","","","","7","6","7","I only have a gut feeling that the second box is the winning box.","7.597","7.597","35.365","1","36","1","2","3","$0.00","123",1,1,"You have selected this box as your box.",2,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6Ft5pvdFg2hzi5v","Middle",70,"Right",53,21,0,"NA",70,15,15,0,0
"2019-09-25 11:00:46","2019-09-25 11:03:51","0","100","185","1","2019-09-25 11:03:51","R_26goAxNh1De3QmV","","","","","anonymous","EN","3","1","1","2.452","4.965","6.265","3",NA,NA,NA,"","","","","","","",33.3,33.3,33.4,"1.429","12.844","24.195","6","3","5","3","It is one in three so they are all equal.  I just added .1 percent to make it come out to 100 percent.","2.352","2.967","52.522","3","29","0","2","2","$0.00","231",0,0,"The computer has randomly selected this box as your box.",3,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_byGtAtR4WsrhcqN","Right",33.4,"Middle",451,22,0,"NA",33.4,33.3,33.3,1,2
"2019-09-25 11:24:31","2019-09-25 11:27:59","0","100","208","1","2019-09-25 11:28:00","R_CjNKgXfgThj8ySR","","","","","anonymous","EN","3","1","1","2.881","7.369","8.335","3",NA,NA,NA,"","","","","Off","Off","On",33,34,33,"8.786","32.474","40.305","6","3","3","3","I assumed the winning box would be selected randomly from the 3.","4.695","4.695","34.934","1","65","0","5","2","$0.00","312",0,1,"You have selected this box as your box.",3,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_byGtAtR4WsrhcqN","Right",33,"Middle",41,23,0,"NA",34,33,33,1,1
"2019-09-25 12:13:03","2019-09-25 12:18:47","0","100","344","1","2019-09-25 12:18:48","R_DNQKSRqPSPKwjPX","","","","","anonymous","EN","3","1","1","4.982","13.378","15.467","3",NA,NA,NA,"","","","","","","",34,33,33,"8.082","29.866","33.69","4","3","4","5","I would love to think number one as my lucky number.","7.096","7.096","81.392","1","43","1","4","3","$0.00","321",0,0,"The computer has randomly selected this box as your box.",1,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cZ26urzdWdrwgHr","Left",34,"Right",51,24,0,"NA",34,33,33,1,2
"2019-09-25 11:47:19","2019-09-25 11:49:22","0","100","122","1","2019-09-25 11:49:22","R_2D8pJSsBKoY2f0O","","","","","anonymous","EN","3","1","1","2.915","7.466","8.547","3",NA,NA,NA,"","","","","Off","Off","On",33,33,34,"5.551","5.725","14.985","2","3","3","3","it would seem statistically to be so","1.369","1.369","23.632","1","27","0","1","1","$0.00","321",0,1,"You have selected this box as your box.",3,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_byGtAtR4WsrhcqN","Right",34,"Left",137,25,0,"NA",34,33,33,1,1
"2019-09-25 12:07:52","2019-09-25 12:10:31","0","100","159","1","2019-09-25 12:10:31","R_2TYntXNTDYVHIld","","","","","anonymous","EN","3","1","1","1.983","5.81","6.744","3",NA,NA,NA,"","","","","Off","Off","On",33,34,33,"4.309","15.807","18.091","3","2","5","3","All the boxes have an equal chance of being selected so they will all have the same percentage.  One box does not have more advantage than the other boxes.","3.036","3.036","44.746","1","20","1","2","1","$0.00","321",0,1,"You have selected this box as your box.",3,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_byGtAtR4WsrhcqN","Right",33,"Left",81,26,0,"NA",34,33,33,1,1
"2019-09-25 11:58:44","2019-09-25 12:01:37","0","100","173","1","2019-09-25 12:01:38","R_3QRaucwXhUJwG8v","","","","","anonymous","EN","3","1","1","2.166","4.347","6.157","3",33,33,34,"3.3","3.966","11.798","2","Off","Off","On",NA,NA,NA,"","","","","6","6","7","Because there are three boxes.","0.493","0.493","12.207","1","29","1","2","3","$1.00","132",1,1,"You have selected this box as your box.",3,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_byGtAtR4WsrhcqN","Right",34,"Right",594,27,0,"NA",34,33,33,1,0
"2019-09-25 11:34:32","2019-09-25 11:38:49","0","100","257","1","2019-09-25 11:38:50","R_12QjsZ4xbS1sqzx","","","","","anonymous","EN","3","1","1","3.145","9.509","11.876","3",NA,NA,NA,"","","","","","","",0,100,0,"7.343","100.429","102.242","3","10","10","10","It's my 6 sense.","16.71","16.71","46.176","1","28","0","4","1","$0.00","231",0,0,"The computer has randomly selected this box as your box.",2,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6Ft5pvdFg2hzi5v","Middle",100,"Left",273,28,0,"NA",100,0,0,0,2
"2019-09-25 11:14:33","2019-09-25 11:19:46","0","100","312","1","2019-09-25 11:19:46","R_3EbsPX2XasZkMK6","","","","","anonymous","EN","3","3","1","5.9","10.484","10.952","3",33.2,33.2,33.6,"4.712","131.404","133.967","14","Off","On","Off",NA,NA,NA,"","","","","8","5","9","50 50 mindset and split into 3","4.144","20.166","20.645","2","22","0","2","3","$0.00","231",1,1,"You have selected this box as your box.",2,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6Ft5pvdFg2hzi5v","Middle",33.2,"Right",112,29,0,"NA",33.6,33.2,33.2,1,0
"2019-09-25 12:25:21","2019-09-25 12:28:50","0","100","208","1","2019-09-25 12:28:50","R_2QnFdgk0NfhHk4W","","","","","anonymous","EN","3","1","1","20.653","25.987","27.097","4",35,35,30,"11.301","36.641","37.634","9","On","Off","Off",NA,NA,NA,"","","","","5","4","5","i think all boxes have an equal chance of wining.","7.217","7.217","41.587","1","30","0","3","3","$0.00","321",1,1,"You have selected this box as your box.",1,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cZ26urzdWdrwgHr","Left",35,"Right",595,30,0,"NA",35,30,35,0,0
"2019-09-25 12:13:58","2019-09-25 12:20:09","0","100","371","1","2019-09-25 12:20:10","R_094r2Uej2mnL34B","","","","","anonymous","EN","3","1","1","116.237","136.455","137.918","3",NA,NA,NA,"","","","","Off","On","Off",15,75,10,"6.115","14.819","18.295","3","9","10","10","The reason why I believe the middle box has a 75% chance of being the winning box is because the middle box just seems more luckier and more reasonable to be selected than the left or the right boxes.","1.445","52.267","54.492","4","22","0","4","2","$1.00","312",0,1,"You have selected this box as your box.",2,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6Ft5pvdFg2hzi5v","Middle",75,"Middle",428,31,0,"NA",75,10,15,0,1
"2019-09-25 11:40:37","2019-09-25 11:49:11","0","100","514","1","2019-09-25 11:49:12","R_0PvRCKNSbQyp3UJ","","","","","anonymous","EN","3","1","1","1.647","3.671","4.483","3",NA,NA,NA,"","","","","Off","On","Off",33,33,34,"0","0","6.931","0","3","3","3","It is a one in three chance","0.84","0.84","6.256","1","27","1","5","3","$0.00","213",0,1,"You have selected this box as your box.",2,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6Ft5pvdFg2hzi5v","Middle",33,"Right",381,32,0,"NA",34,33,33,1,1
"2019-09-25 11:48:05","2019-09-25 11:51:33","0","100","207","1","2019-09-25 11:51:34","R_UQScWkER3ku7FdL","","","","","anonymous","EN","3","1","1","3.389","8.274","9.616","3",33,33,34,"13.638","28.53","33.53","6","Off","Off","On",NA,NA,NA,"","","","","5","3","3","It is just a little over the percentage change that I believe will win. I also like to choosing from the right.","4.954","50.51","53.993","2","59","0","2","2","$0.00","132",1,1,"You have selected this box as your box.",3,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_byGtAtR4WsrhcqN","Right",34,"Middle",30,33,0,"NA",34,33,33,1,0
"2019-09-25 11:47:14","2019-09-25 11:49:46","0","100","151","1","2019-09-25 11:49:46","R_3rG42nYZkwAshZI","","","","","anonymous","EN","3","1","1","2.78","5.261","6.271","3",NA,NA,NA,"","","","","Off","Off","On",33.33,33.33,33.34,"4.277","13.556","16.87","3","3","3","3","If the winning box is selected randomly then there is about a 33% chance of any of the boxes being the winning box.","1.318","1.318","26.491","1","26","1","4","1","$0.00","123",0,1,"You have selected this box as your box.",3,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_byGtAtR4WsrhcqN","Right",33.34,"Left",516,34,0,"NA",33.34,33.33,33.33,1,1
"2019-09-25 11:48:00","2019-09-25 11:50:42","0","100","161","1","2019-09-25 11:50:42","R_1F93ZdAyliK83WI","","","","","anonymous","EN","3","1","1","1.791","4.044","6.117","3",NA,NA,NA,"","","","","Off","On","Off",33,33,34,"2.636","49.707","54.242","9","3","3","3","They all have an equal chance, so about 1 in 3 seems correct.","0.791","0.791","21.588","1","29","0","4","3","$0.00","213",0,1,"You have selected this box as your box.",2,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6Ft5pvdFg2hzi5v","Middle",33,"Right",371,35,0,"NA",34,33,33,1,1
"2019-09-25 12:21:34","2019-09-25 12:27:38","0","100","363","1","2019-09-25 12:27:38","R_3CBN7OuYBgmt9tY","","","","","anonymous","EN","1","2","2","0.72","2.279","2.558","6",NA,NA,NA,"","","","","","","",30,30,40,"2.098","6.61","7.39","4","6","7","7","gut","0.233","11.889","14.585","2","31","0","4","2","$1.00","132",0,0,"The computer has randomly selected this box as your box.",2,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6Ft5pvdFg2hzi5v","Middle",30,"Middle",422,36,0,"NA",40,30,30,0,2
"2019-09-25 11:37:36","2019-09-25 11:41:25","0","100","228","1","2019-09-25 11:41:25","R_2zowQUeMqxVOut6","","","","","anonymous","EN","3","1","1","2.155","5.211","5.542","4",NA,NA,NA,"","","","","","","",33,33,34,"20.864","48.027","48.822","9","7","7","7","I just added an extra percent for fun. ","0.619","0.619","20.002","1","28","1","5","2","$0.00","231",0,0,"The computer has randomly selected this box as your box.",3,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_byGtAtR4WsrhcqN","Right",34,"Middle",100,37,0,"NA",34,33,33,1,2
"2019-09-25 11:59:47","2019-09-25 12:04:45","0","100","297","1","2019-09-25 12:04:46","R_2xPGrA7HGDnWpoh","","","","","anonymous","EN","3","1","1","3.161","7.602","8.661","4",33,34,33,"6.06","23.748","25.765","7","Off","On","Off",NA,NA,NA,"","","","","3","3","3","The boxes have an equal chance off winning, which would be 1/3.  I did not try to enter 33.3 as the answer, so I chose this box to have the extra percent to equal 100 percent.","9.178","46.683","94.989","3","38","1","3","3","$0.00","321",1,1,"You have selected this box as your box.",2,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6Ft5pvdFg2hzi5v","Middle",34,"Right",162,38,0,"NA",34,33,33,1,0
"2019-09-25 11:30:47","2019-09-25 11:34:28","0","100","220","1","2019-09-25 11:34:28","R_w4PSsEwsGAqVqh3","","","","","anonymous","EN","3","1","1","1.72","49.961","51.143","5",NA,NA,NA,"","","","","Off","Off","On",33,33,34,"7.771","13.468","14.322","4","6","5","5","Because of basic probability theory. ","0.605","14.351","18.261","2","24","0","4","2","$0.00","231",0,1,"You have selected this box as your box.",3,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_byGtAtR4WsrhcqN","Right",34,"Middle",274,39,0,"NA",34,33,33,1,1
"2019-09-25 11:31:26","2019-09-25 11:34:03","0","77","156","0","2019-10-02 11:34:05","R_31sktv3HEV0YssZ","","","","","anonymous","EN","3","1","1","1.996","4.732","5.409","5",33,33,34,"1.319","7.327","7.804","5","","","",NA,NA,NA,"","","","","5","4","5","Basic probability ","4.631","4.631","9.235","1","","","","1","$0.00","213",1,0,"The computer has randomly selected this box as your box.",3,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_byGtAtR4WsrhcqN","Right",34,"Left",274,39,1,"incomplete survey",34,33,33,1,0
"2019-09-25 11:00:19","2019-09-25 11:04:30","0","67","251","0","2019-10-02 11:04:37","R_1QxRdDwXE73NAUp","","","","","anonymous","EN","3","2","1","8.52","16.087","17.22","3",NA,NA,NA,"","","","","","","",35,35,30,"6.655","67.162","71.342","8","7","6","8","","","","","","","","","2","$0.00","132",0,0,"The computer has randomly selected this box as your box.",1,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cZ26urzdWdrwgHr","Left",35,"",172,40,1,"incomplete survey",35,30,35,0,2
"2019-09-25 11:47:06","2019-09-25 11:49:18","0","100","131","1","2019-09-25 11:49:18","R_T2hkmLQ8y1ImbUR","","","","","anonymous","EN","3","1","1","2.474","5.154","5.802","3",NA,NA,NA,"","","","","","","",33,34,33,"6.987","6.987","15.179","1","4","4","3","I believe there is only a 1/3 chance of winning. So I went with 34% ","2.384","2.384","24.953","1","27","0","4","3","$0.00","213",0,0,"The computer has randomly selected this box as your box.",2,"https://wharton.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6Ft5pvdFg2hzi5v","Middle",34,"Right",45,41,0,"NA",34,33,33,1,2
